[0413/170413.544:INFO:CONSOLE(152)] "Event handler of 'x-storagemutated-1' event must be added on the initial evaluation of worker script.", source: https://static.whatsapp.net/rsrc.php/v4/yq/r/NPpHInvVBDy.js (152)
[0413/170413.851:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Feature xr-spatial-tracking's parameters are ignored.", source:  (0)
[0413/170413.851:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Origin trial controlled feature not enabled: 'attribution-reporting'.", source:  (0)
[0413/170413.851:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'compute-pressure'.", source:  (0)
[0413/170413.852:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Origin trial controlled feature not enabled: 'interest-cohort'.", source:  (0)
[0413/170413.852:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'private-state-token-issuance'.", source:  (0)
[0413/170413.852:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Origin trial controlled feature not enabled: 'shared-storage'.", source:  (0)
[0413/170413.852:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'shared-storage-select-url'.", source:  (0)
[0413/170413.852:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'private-state-token-redemption'.", source:  (0)
[0413/170413.852:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'unload'.", source:  (0)
[0413/170413.852:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'window-management'.", source:  (0)
[0413/170419.384:INFO:CONSOLE(22)] "Warning: TT: undefined function: 21", source: https://web.whatsapp.com/static_resources/webworker/pdf-worker/ (22)
[0413/170419.794:INFO:CONSOLE(22)] "Warning: TT: undefined function: 21", source: https://web.whatsapp.com/static_resources/webworker/pdf-worker/ (22)
[0413/170420.425:INFO:CONSOLE(22)] "Warning: TT: undefined function: 21", source: https://web.whatsapp.com/static_resources/webworker/pdf-worker/ (22)
[0413/170420.731:INFO:CONSOLE(22)] "Warning: TT: undefined function: 21", source: https://web.whatsapp.com/static_resources/webworker/pdf-worker/ (22)
[0413/170421.132:INFO:CONSOLE(22)] "Warning: TT: undefined function: 21", source: https://web.whatsapp.com/static_resources/webworker/pdf-worker/ (22)
